attribute_name,description,sample_values,label
refinitiv_eikon,Licensed Refinitiv market data,REF_MKT_001||REF_MKT_002||REF_MKT_003||REF_MKT_004||REF_MKT_005,Licensed Data
client_portfolios,Confidential client holding details,PORT_STRUCT_1||PORT_STRUCT_2||PORT_STRUCT_3||PORT_STRUCT_4||PORT_STRUCT_5,Confidential Information
genetic_data,Employee genetic test results,GEN_TEST_001||GEN_TEST_002||GEN_TEST_003||GEN_TEST_004||GEN_TEST_005,Sensitive PII
desk_code,Desk identification code,DESK_SP1||DESK_SP2||DESK_SP3||DESK_SP4||DESK_SP5,Non-Sensitive PII
ice_options_data,Licensed ICE options market feed,ICE_OPT_001||ICE_OPT_002||ICE_OPT_003||ICE_OPT_004||ICE_OPT_005,Licensed Data
hedge_strategy,Confidential hedging methodology,DELTA_HEDGE_1||VEGA_HEDGE_2||GAMMA_HEDGE_3||RHO_HEDGE_4||THETA_HEDGE_5,Confidential Information
pb_contact_name,Prime broker contact name,Rachel Kim||Michael Brown||Sarah Lee||James Wilson||David Chen,Non-Sensitive PII
debit_card_secure,Debit card with security code,CARD_4444_AUTH||CARD_5555_AUTH||CARD_6666_AUTH||CARD_7777_AUTH||CARD_8888_AUTH,Sensitive PII
nasdaq_prime_data,Licensed Nasdaq prime brokerage feed,NSDQ_PB_001||NSDQ_PB_002||NSDQ_PB_003||NSDQ_PB_004||NSDQ_PB_005,Licensed Data
margin_analytics,Confidential margin calculation models,MARGIN_MODEL_1||MARGIN_MODEL_2||MARGIN_MODEL_3||MARGIN_MODEL_4||MARGIN_MODEL_5,Confidential Information
facial_recognition,Biometric facility access data,FACE_ID_001||FACE_ID_002||FACE_ID_003||FACE_ID_004||FACE_ID_005,Sensitive PII
work_extension,Office phone extension,1234||1235||1236||1237||1238,Non-Sensitive PII
factset_portfolio,Licensed FactSet portfolio analytics,FDS_PORT_001||FDS_PORT_002||FDS_PORT_003||FDS_PORT_004||FDS_PORT_005,Licensed Data
client_exposures,Confidential client position details,EQUITY_EXP_1||DERIV_EXP_2||FIXED_EXP_3||FX_EXP_4||CRYPTO_EXP_5,Confidential Information
jp_my_number,Japan My Number identification,JPN_ID_001||JPN_ID_002||JPN_ID_003||JPN_ID_004||JPN_ID_005,Sensitive PII
employee_shift,Work shift schedule,SHIFT_A||SHIFT_B||SHIFT_C||SHIFT_D||SHIFT_E,Non-Sensitive PII
bloomberg_prime,Licensed Bloomberg prime services data,BBG_PB_001||BBG_PB_002||BBG_PB_003||BBG_PB_004||BBG_PB_005,Licensed Data
risk_reports,Confidential risk assessment reports,RISK_DAILY_1||RISK_WEEKLY_2||RISK_MONTHLY_3||RISK_QUARTER_4||RISK_ANNUAL_5,Confidential Information
health_insurance,Employee health coverage status,HEALTH_FULL||HEALTH_BASIC||HEALTH_FAMILY||HEALTH_SINGLE||HEALTH_NONE,Sensitive PII
staff_department,Employee department assignment,PB_OPS||PB_RISK||PB_CLIENT||PB_TECH||PB_ADMIN,Non-Sensitive PII
refinitiv_prime,Licensed Refinitiv prime data feed,REF_PB_001||REF_PB_002||REF_PB_003||REF_PB_004||REF_PB_005,Licensed Data
collateral_model,Confidential collateral valuation method,COLL_EQUITY||COLL_BOND||COLL_DERIV||COLL_FX||COLL_CRYPTO,Confidential Information
system_password,System authentication credentials,PWD_HASH_001||PWD_HASH_002||PWD_HASH_003||PWD_HASH_004||PWD_HASH_005,Sensitive PII
business_email,Corporate email address,pb1@bank.com||pb2@bank.com||pb3@bank.com||pb4@bank.com||pb5@bank.com,Non-Sensitive PII
markit_securities,Licensed Markit securities data,MKT_SEC_001||MKT_SEC_002||MKT_SEC_003||MKT_SEC_004||MKT_SEC_005,Licensed Data
lending_strategy,Confidential securities lending plans,LEND_STRAT_1||LEND_STRAT_2||LEND_STRAT_3||LEND_STRAT_4||LEND_STRAT_5,Confidential Information
compliance_name,Name of compliance officer,John Park||Lisa Chen||Mark Wilson||Amy Singh||Robert Lee,Non-Sensitive PII
user_credentials,System login authentication details,AUTH_HASH_001||AUTH_HASH_002||AUTH_HASH_003||AUTH_HASH_004||AUTH_HASH_005,Sensitive PII
thomson_reg_data,Licensed Thomson Reuters regulatory feed,TR_REG_001||TR_REG_002||TR_REG_003||TR_REG_004||TR_REG_005,Licensed Data
investigation_data,Confidential investigation details,CASE_001_INV||CASE_002_INV||CASE_003_INV||CASE_004_INV||CASE_005_INV,Confidential Information
religion_info,Religious affiliation information,REL_DATA_001||REL_DATA_002||REL_DATA_003||REL_DATA_004||REL_DATA_005,Sensitive PII
office_cubicle,Office workspace location,CUBE_A1||CUBE_B2||CUBE_C3||CUBE_D4||CUBE_E5,Non-Sensitive PII
lexisnexis_kyc,Licensed LexisNexis KYC data,LEX_KYC_001||LEX_KYC_002||LEX_KYC_003||LEX_KYC_004||LEX_KYC_005,Licensed Data
audit_findings,Confidential audit report findings,AUDIT_CRIT_1||AUDIT_HIGH_2||AUDIT_MED_3||AUDIT_LOW_4||AUDIT_INFO_5,Confidential Information
ssn_encrypted,Encrypted social security numbers,SSN_ENC_001||SSN_ENC_002||SSN_ENC_003||SSN_ENC_004||SSN_ENC_005,Sensitive PII
work_phone,Office contact number,212-555-0181||212-555-0182||212-555-0183||212-555-0184||212-555-0185,Non-Sensitive PII
refinitiv_screening,Licensed Refinitiv screening data,REF_SCR_001||REF_SCR_002||REF_SCR_003||REF_SCR_004||REF_SCR_005,Licensed Data
regulatory_reports,Confidential regulatory submissions,REG_REP_Q1||REG_REP_Q2||REG_REP_Q3||REG_REP_Q4||REG_REP_YE,Confidential Information
criminal_check,Background check results data,CRIM_CHECK_001||CRIM_CHECK_002||CRIM_CHECK_003||CRIM_CHECK_004||CRIM_CHECK_005,Sensitive PII
employee_title,Staff job title information,Analyst||Associate||Manager||Director||VP,Non-Sensitive PII
bloomberg_comp,Licensed Bloomberg compliance data,BBG_COMP_001||BBG_COMP_002||BBG_COMP_003||BBG_COMP_004||BBG_COMP_005,Licensed Data
policy_violations,Confidential violation records,VIOLATION_1||VIOLATION_2||VIOLATION_3||VIOLATION_4||VIOLATION_5,Confidential Information
veteran_status,Military service status information,VET_STATUS_001||VET_STATUS_002||VET_STATUS_003||VET_STATUS_004||VET_STATUS_005,Sensitive PII
corp_email,Corporate email address,comp1@firm.com||comp2@firm.com||comp3@firm.com||comp4@firm.com||comp5@firm.com,Non-Sensitive PII
dow_jones_risk,Licensed Dow Jones risk data feed,DJ_RISK_001||DJ_RISK_002||DJ_RISK_003||DJ_RISK_004||DJ_RISK_005,Licensed Data
escalation_logs,Confidential incident escalations,ESC_LOG_001||ESC_LOG_002||ESC_LOG_003||ESC_LOG_004||ESC_LOG_005,Confidential Information
risk_analyst_name,Name of risk analyst,Henry Zhang||Maya Patel||Daniel Kim||Laura Chen||Tom Wilson,Non-Sensitive PII
biometric_access,Biometric system authentication data,RETINA_001||FINGER_002||FACE_003||VOICE_004||PALM_005,Sensitive PII
reuters_risk_data,Licensed Reuters risk analytics feed,RTR_RISK_001||RTR_RISK_002||RTR_RISK_003||RTR_RISK_004||RTR_RISK_005,Licensed Data
var_models,Confidential value at risk calculations,VAR_99_1D||VAR_95_10D||VAR_99_1M||VAR_95_1Y||VAR_99_STRESS,Confidential Information
krw_credit_info,Korean credit information data,KRW_CRED_001||KRW_CRED_002||KRW_CRED_003||KRW_CRED_004||KRW_CRED_005,Sensitive PII
desk_location,Work desk assignment code,DESK_R1||DESK_R2||DESK_R3||DESK_R4||DESK_R5,Non-Sensitive PII
moodys_analytics,Licensed Moody's Analytics data,MOODYS_001||MOODYS_002||MOODYS_003||MOODYS_004||MOODYS_005,Licensed Data
stress_scenarios,Confidential stress test parameters,STRESS_1Y||STRESS_3Y||STRESS_5Y||STRESS_7Y||STRESS_10Y,Confidential Information
health_records,Employee health condition data,HEALTH_A1||HEALTH_B2||HEALTH_C3||HEALTH_D4||HEALTH_E5,Sensitive PII
work_email,Corporate email address,risk1@bank.com||risk2@bank.com||risk3@bank.com||risk4@bank.com||risk5@bank.com,Non-Sensitive PII
bloomberg_risk,Licensed Bloomberg risk data feed,BBG_RISK_001||BBG_RISK_002||BBG_RISK_003||BBG_RISK_004||BBG_RISK_005,Licensed Data
portfolio_limits,Confidential risk limit thresholds,LIMIT_EQ_1||LIMIT_FI_2||LIMIT_FX_3||LIMIT_COM_4||LIMIT_DERIV_5,Confidential Information
login_creds,System access credentials,LOGIN_SEC_001||LOGIN_SEC_002||LOGIN_SEC_003||LOGIN_SEC_004||LOGIN_SEC_005,Sensitive PII
employee_grade,Staff level designation,GRADE_1||GRADE_2||GRADE_3||GRADE_4||GRADE_5,Non-Sensitive PII
factset_risk,Licensed FactSet risk metrics,FDS_RISK_001||FDS_RISK_002||FDS_RISK_003||FDS_RISK_004||FDS_RISK_005,Licensed Data
correlation_matrix,Confidential correlation calculations,CORR_EQ_FI||CORR_FI_FX||CORR_FX_COM||CORR_EQ_COM||CORR_FI_COM,Confidential Information
union_membership,Trade union affiliation status,UNION_A1||UNION_A2||UNION_A3||UNION_A4||UNION_A5,Sensitive PII
office_phone,Work telephone number,555-0301||555-0302||555-0303||555-0304||555-0305,Non-Sensitive PII
markit_risk_data,Licensed Markit risk analytics,MKT_RISK_001||MKT_RISK_002||MKT_RISK_003||MKT_RISK_004||MKT_RISK_005,Licensed Data
sensitivity_report,Confidential risk sensitivity analysis,DELTA_1||GAMMA_2||VEGA_3||THETA_4||RHO_5,Confidential Information
credit_officer_name,Name of credit risk officer,Alex Thompson||Nina Gupta||James Chen||Sarah Kim||Mike Wilson,Non-Sensitive PII
social_security_num,Social security identification number,123-45-6789||234-56-7890||345-67-8901||456-78-9012||567-89-0123,Sensitive PII
sp_credit_data,Licensed S&P credit rating data,SP_CR_001||SP_CR_002||SP_CR_003||SP_CR_004||SP_CR_005,Licensed Data
default_models,Confidential default prediction models,DEF_MODEL_1||DEF_MODEL_2||DEF_MODEL_3||DEF_MODEL_4||DEF_MODEL_5,Confidential Information
geo_track_data,Precise geolocation tracking data,40.7589_-73.9851||51.5074_-0.1278||35.6762_139.6503||22.3193_114.1694||1.3521_103.8198,Sensitive PII
employee_division,Division assignment information,CREDIT_DIV_1||CREDIT_DIV_2||CREDIT_DIV_3||CREDIT_DIV_4||CREDIT_DIV_5,Non-Sensitive PII
moodys_credit_feed,Licensed Moody's credit data feed,MDY_CR_001||MDY_CR_002||MDY_CR_003||MDY_CR_004||MDY_CR_005,Licensed Data
exposure_limits,Confidential credit exposure thresholds,LIMIT_A1||LIMIT_A2||LIMIT_A3||LIMIT_B1||LIMIT_B2,Confidential Information
political_views,Political affiliation information,POL_VIEW_001||POL_VIEW_002||POL_VIEW_003||POL_VIEW_004||POL_VIEW_005,Sensitive PII
work_phone,Office telephone number,555-0401||555-0402||555-0403||555-0404||555-0405,Non-Sensitive PII
fitch_analytics,Licensed Fitch ratings analytics,FITCH_001||FITCH_002||FITCH_003||FITCH_004||FITCH_005,Licensed Data
risk_methodology,Confidential risk assessment method,METHOD_1||METHOD_2||METHOD_3||METHOD_4||METHOD_5,Confidential Information
genetic_profile,Genetic testing information,GEN_DATA_001||GEN_DATA_002||GEN_DATA_003||GEN_DATA_004||GEN_DATA_005,Sensitive PII
business_email,Corporate email address,credit1@bank.com||credit2@bank.com||credit3@bank.com||credit4@bank.com||credit5@bank.com,Non-Sensitive PII
bloomberg_credit,Licensed Bloomberg credit data,BBG_CR_001||BBG_CR_002||BBG_CR_003||BBG_CR_004||BBG_CR_005,Licensed Data
portfolio_strategy,Confidential portfolio management strategy,STRAT_1||STRAT_2||STRAT_3||STRAT_4||STRAT_5,Confidential Information
system_password,System access credentials,PWD_HASH_001||PWD_HASH_002||PWD_HASH_003||PWD_HASH_004||PWD_HASH_005,Sensitive PII
employee_title,Job title information,Analyst||Associate||VP||Director||MD,Non-Sensitive PII
refinitiv_credit,Licensed Refinitiv credit analytics,REF_CR_001||REF_CR_002||REF_CR_003||REF_CR_004||REF_CR_005,Licensed Data
client_ratings,Confidential internal client ratings,AAA_INT||AA_INT||A_INT||BBB_INT||BB_INT,Confidential Information
ops_analyst_name,Name of operations analyst,Kevin Park||Lisa Chen||Ryan Smith||Emma Wong||David Kim,Non-Sensitive PII
fingerprint_data,Biometric authentication pattern,BIO_FP_001||BIO_FP_002||BIO_FP_003||BIO_FP_004||BIO_FP_005,Sensitive PII
ibm_risk_data,Licensed IBM risk management platform,IBM_RISK_001||IBM_RISK_002||IBM_RISK_003||IBM_RISK_004||IBM_RISK_005,Licensed Data
incident_reports,Confidential operational incident details,INC_REP_001||INC_REP_002||INC_REP_003||INC_REP_004||INC_REP_005,Confidential Information
driver_license,Government-issued identification,DL123456||DL234567||DL345678||DL456789||DL567890,Sensitive PII
business_unit,Department assignment information,OPS_TEAM_1||OPS_TEAM_2||OPS_TEAM_3||OPS_TEAM_4||OPS_TEAM_5,Non-Sensitive PII
sas_ops_platform,Licensed SAS operational analytics,SAS_OPS_001||SAS_OPS_002||SAS_OPS_003||SAS_OPS_004||SAS_OPS_005,Licensed Data
control_framework,Confidential control documentation,CTRL_DOC_1||CTRL_DOC_2||CTRL_DOC_3||CTRL_DOC_4||CTRL_DOC_5,Confidential Information
medical_status,Employee health condition records,MED_STAT_001||MED_STAT_002||MED_STAT_003||MED_STAT_004||MED_STAT_005,Sensitive PII
work_extension,Office phone extension number,EXT_1234||EXT_2345||EXT_3456||EXT_4567||EXT_5678,Non-Sensitive PII
oracle_risk_cloud,Licensed Oracle risk management suite,ORC_001||ORC_002||ORC_003||ORC_004||ORC_005,Licensed Data
process_controls,Confidential control assessments,CTRL_ASS_1||CTRL_ASS_2||CTRL_ASS_3||CTRL_ASS_4||CTRL_ASS_5,Confidential Information
credit_records,Financial credit history data,CR_HIST_001||CR_HIST_002||CR_HIST_003||CR_HIST_004||CR_HIST_005,Sensitive PII
employee_email,Corporate email address,ops1@bank.com||ops2@bank.com||ops3@bank.com||ops4@bank.com||ops5@bank.com,Non-Sensitive PII
thomson_ops_data,Licensed Thomson Reuters ops data,TR_OPS_001||TR_OPS_002||TR_OPS_003||TR_OPS_004||TR_OPS_005,Licensed Data
risk_assessments,Confidential risk evaluation results,RISK_EVL_1||RISK_EVL_2||RISK_EVL_3||RISK_EVL_4||RISK_EVL_5,Confidential Information
system_password,System authentication credentials,PWD_SEC_001||PWD_SEC_002||PWD_SEC_003||PWD_SEC_004||PWD_SEC_005,Sensitive PII
office_location,Work location information,FLOOR_1||FLOOR_2||FLOOR_3||FLOOR_4||FLOOR_5,Non-Sensitive PII
bloomberg_ops,Licensed Bloomberg operational data,BBG_OPS_001||BBG_OPS_002||BBG_OPS_003||BBG_OPS_004||BBG_OPS_005,Licensed Data
audit_findings,Confidential audit observations,AUDIT_OBS_1||AUDIT_OBS_2||AUDIT_OBS_3||AUDIT_OBS_4||AUDIT_OBS_5,Confidential Information
algo_dev_name,Name of algorithm developer,Sam Lee||Rita Patel||Jack Chen||Amy Shah||Mark Wu,Non-Sensitive PII
bio_auth_code,Biometric authentication data,BIO_AUTH_001||BIO_AUTH_002||BIO_AUTH_003||BIO_AUTH_004||BIO_AUTH_005,Sensitive PII
rtrs_mkt_data,Licensed Reuters market data feed,RTR_MKT_001||RTR_MKT_002||RTR_MKT_003||RTR_MKT_004||RTR_MKT_005,Licensed Data
algo_strat_code,Confidential trading algorithm code,ALGO_HFT_1||ALGO_HFT_2||ALGO_HFT_3||ALGO_HFT_4||ALGO_HFT_5,Confidential Information
rrn_num,Korean resident registration number,RRN123456||RRN234567||RRN345678||RRN456789||RRN567890,Sensitive PII
emp_loc,Employee desk location code,LOC_A1||LOC_B2||LOC_C3||LOC_D4||LOC_E5,Non-Sensitive PII
bbg_algo_feed,Licensed Bloomberg algorithm data,BBG_ALGO_001||BBG_ALGO_002||BBG_ALGO_003||BBG_ALGO_004||BBG_ALGO_005,Licensed Data
exec_params,Confidential execution parameters,EXEC_PARAM_1||EXEC_PARAM_2||EXEC_PARAM_3||EXEC_PARAM_4||EXEC_PARAM_5,Confidential Information
med_rec,Employee medical records data,MED_REC_001||MED_REC_002||MED_REC_003||MED_REC_004||MED_REC_005,Sensitive PII
wrk_email,Work email address,dev1@algo.com||dev2@algo.com||dev3@algo.com||dev4@algo.com||dev5@algo.com,Non-Sensitive PII
ref_tick_data,Licensed Refinitiv tick data,REF_TICK_001||REF_TICK_002||REF_TICK_003||REF_TICK_004||REF_TICK_005,Licensed Data
perf_metrics,Confidential performance statistics,PERF_STAT_1||PERF_STAT_2||PERF_STAT_3||PERF_STAT_4||PERF_STAT_5,Confidential Information
sys_pwd,System login credentials,PWD_ENC_001||PWD_ENC_002||PWD_ENC_003||PWD_ENC_004||PWD_ENC_005,Sensitive PII
emp_id,Employee identification code,EID_001||EID_002||EID_003||EID_004||EID_005,Non-Sensitive PII
ice_data_feed,Licensed ICE market data feed,ICE_DATA_001||ICE_DATA_002||ICE_DATA_003||ICE_DATA_004||ICE_DATA_005,Licensed Data
trade_logic,Confidential trading logic rules,LOGIC_RULE_1||LOGIC_RULE_2||LOGIC_RULE_3||LOGIC_RULE_4||LOGIC_RULE_5,Confidential Information
crim_hist,Criminal background check results,CRIM_CHK_001||CRIM_CHK_002||CRIM_CHK_003||CRIM_CHK_004||CRIM_CHK_005,Sensitive PII
wrk_phone,Work phone number,555-0501||555-0502||555-0503||555-0504||555-0505,Non-Sensitive PII
factset_algo,Licensed FactSet algorithm data,FDS_ALGO_001||FDS_ALGO_002||FDS_ALGO_003||FDS_ALGO_004||FDS_ALGO_005,Licensed Data
risk_limits,Confidential trading risk limits,RISK_LMT_1||RISK_LMT_2||RISK_LMT_3||RISK_LMT_4||RISK_LMT_5,Confidential Information
wm_adv_name,Wealth management advisor name,Jay Park||Nina Shah||Rob Chen||Eva Liu||Tom Lee,Non-Sensitive PII
cc_data,Credit card with security codes,CC_4321_SEC||CC_5432_SEC||CC_6543_SEC||CC_7654_SEC||CC_8765_SEC,Sensitive PII
mstar_port_data,Licensed Morningstar portfolio data,MS_PORT_001||MS_PORT_002||MS_PORT_003||MS_PORT_004||MS_PORT_005,Licensed Data
port_strat,Confidential portfolio strategy,STRAT_CONS_1||STRAT_MOD_2||STRAT_AGG_3||STRAT_INC_4||STRAT_GRW_5,Confidential Information
ssn_enc,Encrypted social security number,SSN_ENC_001||SSN_ENC_002||SSN_ENC_003||SSN_ENC_004||SSN_ENC_005,Sensitive PII
emp_dept,Employee department code,WM_A1||WM_B2||WM_C3||WM_D4||WM_E5,Non-Sensitive PII
bbg_wealth_data,Licensed Bloomberg wealth data,BBG_WM_001||BBG_WM_002||BBG_WM_003||BBG_WM_004||BBG_WM_005,Licensed Data
client_port,Confidential client portfolios,PORT_HNW_1||PORT_UHNW_2||PORT_INST_3||PORT_RET_4||PORT_CORP_5,Confidential Information
rel_status,Religious affiliation information,REL_001||REL_002||REL_003||REL_004||REL_005,Sensitive PII
wrk_ext,Work extension number,EXT_601||EXT_602||EXT_603||EXT_604||EXT_605,Non-Sensitive PII
ref_wealth_feed,Licensed Refinitiv wealth feed,REF_WM_001||REF_WM_002||REF_WM_003||REF_WM_004||REF_WM_005,Licensed Data
inv_models,Confidential investment models,MODEL_BAL_1||MODEL_GRW_2||MODEL_INC_3||MODEL_VAL_4||MODEL_ESG_5,Confidential Information
geo_loc,Precise geolocation data,LOC_40.7N_74W||LOC_51.5N_0.1W||LOC_35.6N_139E||LOC_22.3N_114E||LOC_1.3N_103E,Sensitive PII
bus_email,Business email address,wm1@bank.com||wm2@bank.com||wm3@bank.com||wm4@bank.com||wm5@bank.com,Non-Sensitive PII
fds_wealth_data,Licensed FactSet wealth data,FDS_WM_001||FDS_WM_002||FDS_WM_003||FDS_WM_004||FDS_WM_005,Licensed Data
risk_prof,Confidential risk profiling data,RISK_PROF_1||RISK_PROF_2||RISK_PROF_3||RISK_PROF_4||RISK_PROF_5,Confidential Information
bio_scan,Biometric scan data,BIO_SCAN_001||BIO_SCAN_002||BIO_SCAN_003||BIO_SCAN_004||BIO_SCAN_005,Sensitive PII
emp_title,Employee title code,WM_VP||WM_DIR||WM_AVP||WM_MD||WM_ANL,Non-Sensitive PII
tr_wealth_data,Licensed Thomson Reuters wealth data,TR_WM_001||TR_WM_002||TR_WM_003||TR_WM_004||TR_WM_005,Licensed Data
alloc_strat,Confidential allocation strategy,ALLOC_1||ALLOC_2||ALLOC_3||ALLOC_4||ALLOC_5,Confidential Information
res_anl_name,Research analyst name,Kim Lee||Joe Shah||Ann Chen||Ray Park||Mei Wu,Non-Sensitive PII
jp_my_num,Japan My Number identification,JPN_MY_001||JPN_MY_002||JPN_MY_003||JPN_MY_004||JPN_MY_005,Sensitive PII
spgbl_res_data,Licensed S&P Global research data,SPG_RES_001||SPG_RES_002||SPG_RES_003||SPG_RES_004||SPG_RES_005,Licensed Data
res_pipeline,Confidential research pipeline,RES_TECH_1||RES_FIN_2||RES_HEALTH_3||RES_ESG_4||RES_MACRO_5,Confidential Information
drv_lic_num,Driver's license number data,DL_ENC_001||DL_ENC_002||DL_ENC_003||DL_ENC_004||DL_ENC_005,Sensitive PII
emp_grade,Employee grade level,GRADE_A1||GRADE_A2||GRADE_B1||GRADE_B2||GRADE_C1,Non-Sensitive PII
rtrs_res_feed,Licensed Reuters research feed,RTR_RES_001||RTR_RES_002||RTR_RES_003||RTR_RES_004||RTR_RES_005,Licensed Data
model_params,Confidential model parameters,PARAM_1||PARAM_2||PARAM_3||PARAM_4||PARAM_5,Confidential Information
union_mem,Trade union membership status,UNION_A1||UNION_A2||UNION_A3||UNION_A4||UNION_A5,Sensitive PII
wrk_ph,Work phone number,555-0601||555-0602||555-0603||555-0604||555-0605,Non-Sensitive PII
bbg_res_data,Licensed Bloomberg research data,BBG_RES_001||BBG_RES_002||BBG_RES_003||BBG_RES_004||BBG_RES_005,Licensed Data
alpha_model,Confidential alpha generation model,ALPHA_1||ALPHA_2||ALPHA_3||ALPHA_4||ALPHA_5,Confidential Information
sys_auth,System authentication credentials,AUTH_001||AUTH_002||AUTH_003||AUTH_004||AUTH_005,Sensitive PII
bus_mail,Business email address,res1@firm.com||res2@firm.com||res3@firm.com||res4@firm.com||res5@firm.com,Non-Sensitive PII
fds_res_data,Licensed FactSet research data,FDS_RES_001||FDS_RES_002||FDS_RES_003||FDS_RES_004||FDS_RES_005,Licensed Data
val_metrics,Confidential valuation metrics,VAL_MET_1||VAL_MET_2||VAL_MET_3||VAL_MET_4||VAL_MET_5,Confidential Information
hlth_data,Health condition information,HEALTH_001||HEALTH_002||HEALTH_003||HEALTH_004||HEALTH_005,Sensitive PII
dept_code,Department code identifier,RES_101||RES_102||RES_103||RES_104||RES_105,Non-Sensitive PII
mstar_res_data,Licensed Morningstar research feed,MS_RES_001||MS_RES_002||MS_RES_003||MS_RES_004||MS_RES_005,Licensed Data
client_ranks,Confidential client rankings,RANK_A1||RANK_A2||RANK_B1||RANK_B2||RANK_C1,Confidential Information
surv_opr_name,Surveillance operator name,Tim Lee||Amy Shah||Ben Wu||Sara Park||Max Chen,Non-Sensitive PII
bio_auth_data,Biometric authentication patterns,BIO_SCAN_001||BIO_SCAN_002||BIO_SCAN_003||BIO_SCAN_004||BIO_SCAN_005,Sensitive PII
nsdq_surv_data,Licensed Nasdaq surveillance feed,NSDQ_SRV_001||NSDQ_SRV_002||NSDQ_SRV_003||NSDQ_SRV_004||NSDQ_SRV_005,Licensed Data
alert_rules,Confidential surveillance rules,RULE_INS_1||RULE_MKT_2||RULE_WASH_3||RULE_SPOOF_4||RULE_LAY_5,Confidential Information
krn_rrn,Korean resident registration number,KRN_001||KRN_002||KRN_003||KRN_004||KRN_005,Sensitive PII
emp_loc,Employee location code,SRV_NY||SRV_LN||SRV_TK||SRV_HK||SRV_SG,Non-Sensitive PII
bbg_surv_feed,Licensed Bloomberg surveillance data,BBG_SRV_001||BBG_SRV_002||BBG_SRV_003||BBG_SRV_004||BBG_SRV_005,Licensed Data
case_files,Confidential investigation cases,CASE_A1||CASE_B2||CASE_C3||CASE_D4||CASE_E5,Confidential Information
pol_views,Political affiliation information,POL_001||POL_002||POL_003||POL_004||POL_005,Sensitive PII
wrk_ext,Work extension number,EXT_701||EXT_702||EXT_703||EXT_704||EXT_705,Non-Sensitive PII
ref_surv_data,Licensed Refinitiv surveillance feed,REF_SRV_001||REF_SRV_002||REF_SRV_003||REF_SRV_004||REF_SRV_005,Licensed Data
risk_scores,Confidential risk scoring model,RISK_A1||RISK_B2||RISK_C3||RISK_D4||RISK_E5,Confidential Information
fin_cred_data,Financial credit information,FIN_CR_001||FIN_CR_002||FIN_CR_003||FIN_CR_004||FIN_CR_005,Sensitive PII
bus_mail,Business email address,surv1@firm.com||surv2@firm.com||surv3@firm.com||surv4@firm.com||surv5@firm.com,Non-Sensitive PII
ice_surv_data,Licensed ICE surveillance data,ICE_SRV_001||ICE_SRV_002||ICE_SRV_003||ICE_SRV_004||ICE_SRV_005,Licensed Data
pat_detect,Confidential pattern detection rules,PAT_1||PAT_2||PAT_3||PAT_4||PAT_5,Confidential Information
crim_rec,Criminal record information,CRIM_001||CRIM_002||CRIM_003||CRIM_004||CRIM_005,Sensitive PII
dept_id,Department identifier code,SURV_01||SURV_02||SURV_03||SURV_04||SURV_05,Non-Sensitive PII
cme_surv_feed,Licensed CME surveillance feed,CME_SRV_001||CME_SRV_002||CME_SRV_003||CME_SRV_004||CME_SRV_005,Licensed Data
alert_thresh,Confidential alert thresholds,THRESH_1||THRESH_2||THRESH_3||THRESH_4||THRESH_5,Confidential Information
crypto_tdr_name,Cryptocurrency trader name,Jay Kim||Rita Patel||Mike Chen||Sue Park||Dan Lee,Non-Sensitive PII
face_recog,Facial recognition access data,FACE_ID_001||FACE_ID_002||FACE_ID_003||FACE_ID_004||FACE_ID_005,Sensitive PII
cmbl_crypto_data,Licensed CoinMarketCap data feed,CMC_001||CMC_002||CMC_003||CMC_004||CMC_005,Licensed Data
wallet_strat,Confidential wallet strategy details,COLD_WALLET_1||HOT_WALLET_2||MULTI_SIG_3||THRESH_SIG_4||TIME_LOCK_5,Confidential Information
jp_residence,Japan domicile registration info,JP_DOM_001||JP_DOM_002||JP_DOM_003||JP_DOM_004||JP_DOM_005,Sensitive PII
emp_id,Employee identifier code,EMP_C1||EMP_C2||EMP_C3||EMP_C4||EMP_C5,Non-Sensitive PII
cg_market_feed,Licensed CoinGecko market feed,CG_MKT_001||CG_MKT_002||CG_MKT_003||CG_MKT_004||CG_MKT_005,Licensed Data
trade_algos,Confidential trading algorithms,ALGO_BTC_1||ALGO_ETH_2||ALGO_ALT_3||ALGO_DeFi_4||ALGO_NFT_5,Confidential Information
bank_acc_sec,Bank account with security codes,BNK_SEC_001||BNK_SEC_002||BNK_SEC_003||BNK_SEC_004||BNK_SEC_005,Sensitive PII
wrk_phone,Work phone number,555-0801||555-0802||555-0803||555-0804||555-0805,Non-Sensitive PII
messari_data,Licensed Messari crypto data,MSR_001||MSR_002||MSR_003||MSR_004||MSR_005,Licensed Data
risk_limits,Confidential risk limit rules,LIMIT_BTC_1||LIMIT_ETH_2||LIMIT_ALT_3||LIMIT_STABLE_4||LIMIT_DeFi_5,Confidential Information
pwd_hash,System password hash data,PWD_HASH_001||PWD_HASH_002||PWD_HASH_003||PWD_HASH_004||PWD_HASH_005,Sensitive PII
bus_email,Business email address,crypto1@firm.com||crypto2@firm.com||crypto3@firm.com||crypto4@firm.com||crypto5@firm.com,Non-Sensitive PII
glassnode_feed,Licensed Glassnode analytics feed,GN_DATA_001||GN_DATA_002||GN_DATA_003||GN_DATA_004||GN_DATA_005,Licensed Data
exec_strategy,Confidential execution strategy,EXEC_SPOT_1||EXEC_PERP_2||EXEC_OPT_3||EXEC_YIELD_4||EXEC_STAKE_5,Confidential Information
